ID,neighbourhood,date,buildingType,Tenure,Size,pricePsf,Price,Floors,state,area,latitude,longitude
3394,PLATINUM LAKE PV21,14/7/2022,SERVICE RESIDENCE,LEASEHOLD,1313,457,600000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3395,PLATINUM LAKE PV21,10/6/2022,SERVICE RESIDENCE,LEASEHOLD,1325,415,550000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3396,PLATINUM LAKE PV21,10/5/2022,SERVICE RESIDENCE,LEASEHOLD,900,433,390000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3397,PLATINUM LAKE PV21,10/5/2022,SERVICE RESIDENCE,LEASEHOLD,1313,419,550000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3398,PLATINUM LAKE PV21,29/4/2022,SERVICE RESIDENCE,LEASEHOLD,883,362,320000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3399,PLATINUM LAKE PV21,11/4/2022,SERVICE RESIDENCE,LEASEHOLD,883,464,410000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3400,PLATINUM LAKE PV21,11/3/2022,SERVICE RESIDENCE,LEASEHOLD,1300,308,400000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3401,PLATINUM LAKE PV21,25/2/2022,SERVICE RESIDENCE,LEASEHOLD,1528,416,635000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3402,PLATINUM LAKE PV21,27/12/2021,SERVICE RESIDENCE,LEASEHOLD,904,277,250000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3403,MEDAN INTAN APARTMENT,26/4/2023,APARTMENT,FREEHOLD,990,278,275000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3404,MEDAN INTAN APARTMENT,15/2/2023,APARTMENT,FREEHOLD,990,303,300000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3405,MEDAN INTAN APARTMENT,29/12/2022,APARTMENT,FREEHOLD,990,364,360000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3406,MEDAN INTAN APARTMENT,17/10/2022,APARTMENT,FREEHOLD,990,263,260000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3407,MEDAN INTAN APARTMENT,4/10/2022,APARTMENT,FREEHOLD,990,288,285000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3408,MEDAN INTAN APARTMENT,21/9/2022,APARTMENT,FREEHOLD,990,263,260000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3409,PANGSAPURI MELUR,7/2/2023,APARTMENT,LEASEHOLD,1066,328,350000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3410,PANGSAPURI MELUR,29/11/2022,APARTMENT,LEASEHOLD,1033,353,365000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3411,PANGSAPURI MELUR,4/11/2022,APARTMENT,LEASEHOLD,1066,356,380000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3412,PANGSAPURI MELUR,1/9/2022,APARTMENT,LEASEHOLD,1066,324,345000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3413,PANGSAPURI MELUR,14/8/2022,APARTMENT,LEASEHOLD,1033,374,386000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3414,PANGSAPURI MELUR,14/7/2022,APARTMENT,LEASEHOLD,1066,375,400000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3415,PANGSAPURI MELUR,21/3/2022,APARTMENT,LEASEHOLD,1066,320,341000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3416,PANGSAPURI MELUR,11/3/2022,APARTMENT,LEASEHOLD,1066,375,400000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3417,PANGSAPURI MAWAR,16/3/2023,APARTMENT,LEASEHOLD,980,306,300000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3418,PANGSAPURI MAWAR,31/1/2023,APARTMENT,LEASEHOLD,980,347,340000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3419,PANGSAPURI MAWAR,10/11/2022,APARTMENT,LEASEHOLD,980,309,303000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3420,PANGSAPURI MAWAR,15/9/2022,APARTMENT,LEASEHOLD,1005,299,300000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3421,PANGSAPURI MAWAR,1/8/2022,APARTMENT,LEASEHOLD,1005,348,350000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3422,PANGSAPURI MAWAR,21/7/2022,APARTMENT,LEASEHOLD,850,341,290000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3423,PANGSAPURI MAWAR,21/6/2022,APARTMENT,LEASEHOLD,1001,290,290000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3424,PANGSAPURI MAWAR,13/5/2022,APARTMENT,LEASEHOLD,980,327,320000,1,kuala-lumpur,sentul,3.1785862,101.6955056
